Class,Gender,Age,Survived,Freq
3rd,Male,Child,No,35
3rd,Female,Child,No,17
1st,Male,Adult,No,118
2nd,Male,Adult,No,154
3rd,Male,Adult,No,387
Crew,Male,Adult,No,670
1st,Female,Adult,No,4
2nd,Female,Adult,No,13
3rd,Female,Adult,No,89
Crew,Female,Adult,No,3
1st,Male,Child,Yes,5
2nd,Male,Child,Yes,11
3rd,Male,Child,Yes,13
1st,Female,Child,Yes,1
2nd,Female,Child,Yes,13
3rd,Female,Child,Yes,14
1st,Male,Adult,Yes,57
2nd,Male,Adult,Yes,14
3rd,Male,Adult,Yes,75
Crew,Male,Adult,Yes,192
1st,Female,Adult,Yes,140
2nd,Female,Adult,Yes,80
3rd,Female,Adult,Yes,76
Crew,Female,Adult,Yes,20
