JournalNum,GMapPredicted,Actual
1,31,35
2,37,38
3,32,31
4,29,28
5,28,27
6,30,30
7,34,34
8,26,26
9,31,28
10,33,33
11,35,41
12,26,30
13,36,39
14,32,31
15,37,41
16,32,36
17,26,26
18,29,34
19,26,25
20,29,31
21,34,35
22,37,34
23,33,36
24,33,34
25,29,34
26,32,36
27,39,37
28,33,36
29,40,39
30,27,31
31,34,34
32,31,31
33,35,38
34,28,28
35,31,29
36,33,32
37,29,34
38,26,30
39,23,27
40,34,33
41,29,26
42,31,35
43,31,31
44,28,34
45,32,35
46,36,38
47,30,31
48,32,30
49,23,20
50,26,28
51,35,34
52,34,30
53,36,37
54,33,32
55,30,33
56,31,29
