"","FishNumber","FishID","StandardLength","SymphysealKnob","AnalSpineI","AnalSpineII","AnalSpineIII","CaudalPeduncle","InLengthRange","X","X.1"
"1",38,"S. mystinus","161",1.75,3.11,8.2,8.43,16.8,"Yes",NA,"Check"
"2",40,"S. mystinus","163",1.7,2.63,9.19,8.09,19.75,"Yes",NA,"  "
"3",55,"S. mystinus","170",0.89,4.18,9.68,9.55,18.74,"Yes",NA,""
"4",58,"S. mystinus","193",1.44,3.51,8.29,10.05,17.51,"Yes",NA,""
"5",59,"S. mystinus","177",1.66,2.85,8.27,8.4,20.08,"Yes",NA,""
"6",60,"S. mystinus","182",1.51,4.29,10.71,10.96,18.1,"Yes",NA,""
"7",61,"S. mystinus","158",1.7,5.11,10.15,10.18,18.45,"Yes",NA,""
"8",81,"S. mystinus","176",2.16,3.88,8.95,10.47,17.91,"Yes",NA,""
"9",84,"S. mystinus","163",1.83,4.62,8.66,10.66,17.79,"Yes",NA,""
"10",8,"S. diaconus","188",1.77,5.71,10.16,10.88,18.76,"Yes",NA,""
"11",15,"S. diaconus","152",1.9,4.61,11.73,12.16,20.36,"Yes",NA,""
"12",17,"S. diaconus","198",2.05,5.01,10.53,11.12,17.58,"Yes",NA,""
"13",19,"S. diaconus","191",1.7,5.35,10.69,11.29,18.39,"Yes",NA,""
"14",26,"S. diaconus","165.62",1.65,5.53,10.4,9.27,17.41,"Yes",NA,""
"15",37,"S. diaconus","152.37",1.63,4.5,12.21,10.11,18.8,"Yes",NA,""
"16",46,"S. diaconus","168",1.31,4.71,10.96,9.71,16.85,"Yes",NA,""
"17",75,"S. diaconus","153",2.04,4.58,10.62,12.06,18.28,"Yes",NA,""
