len,supp,dose
4.2,Pill,Dose0.5
11.5,Pill,Dose0.5
7.3,Pill,Dose0.5
5.8,Pill,Dose0.5
6.4,Pill,Dose0.5
10,Pill,Dose0.5
11.2,Pill,Dose0.5
11.2,Pill,Dose0.5
5.2,Pill,Dose0.5
7,Pill,Dose0.5
16.5,Pill,Dose1
16.5,Pill,Dose1
15.2,Pill,Dose1
17.3,Pill,Dose1
22.5,Pill,Dose1
17.3,Pill,Dose1
13.6,Pill,Dose1
14.5,Pill,Dose1
18.8,Pill,Dose1
15.5,Pill,Dose1
23.6,Pill,Dose2
18.5,Pill,Dose2
33.9,Pill,Dose2
25.5,Pill,Dose2
26.4,Pill,Dose2
32.5,Pill,Dose2
26.7,Pill,Dose2
21.5,Pill,Dose2
23.3,Pill,Dose2
29.5,Pill,Dose2
15.2,OrangeJuice,Dose0.5
21.5,OrangeJuice,Dose0.5
17.6,OrangeJuice,Dose0.5
9.7,OrangeJuice,Dose0.5
14.5,OrangeJuice,Dose0.5
10,OrangeJuice,Dose0.5
8.2,OrangeJuice,Dose0.5
9.4,OrangeJuice,Dose0.5
16.5,OrangeJuice,Dose0.5
9.7,OrangeJuice,Dose0.5
19.7,OrangeJuice,Dose1
23.3,OrangeJuice,Dose1
23.6,OrangeJuice,Dose1
26.4,OrangeJuice,Dose1
20,OrangeJuice,Dose1
25.2,OrangeJuice,Dose1
25.8,OrangeJuice,Dose1
21.2,OrangeJuice,Dose1
14.5,OrangeJuice,Dose1
27.3,OrangeJuice,Dose1
25.5,OrangeJuice,Dose2
26.4,OrangeJuice,Dose2
22.4,OrangeJuice,Dose2
24.5,OrangeJuice,Dose2
24.8,OrangeJuice,Dose2
30.9,OrangeJuice,Dose2
26.4,OrangeJuice,Dose2
27.3,OrangeJuice,Dose2
29.4,OrangeJuice,Dose2
23,OrangeJuice,Dose2
