parasite.name,parasite,rep,growth.rate
control,control,1,1.074709238
control,control,2,1.265901554
control,control,3,1.31515627
control,control,4,1.075751884
control,control,5,1.196761947
control,control,6,1.383795474
control,control,7,1.32396515
control,control,8,1.104369989
control,control,9,1.277534322
control,control,10,1.121142009
Metschnikowia bicuspidata,Mb,1,1.11905616
Metschnikowia bicuspidata,Mb,2,0.947664941
Metschnikowia bicuspidata,Mb,3,0.877968647
Metschnikowia bicuspidata,Mb,4,0.791013278
Metschnikowia bicuspidata,Mb,5,0.918780264
Metschnikowia bicuspidata,Mb,6,0.402129661
Metschnikowia bicuspidata,Mb,7,0.505849523
Metschnikowia bicuspidata,Mb,8,0.779442455
Metschnikowia bicuspidata,Mb,9,0.717001087
Metschnikowia bicuspidata,Mb,10,0.95263515
Pansporella perplexa,Pp,1,1.136728665
Pansporella perplexa,Pp,2,0.935906323
Pansporella perplexa,Pp,3,1.038922323
Pansporella perplexa,Pp,4,0.657060023
Pansporella perplexa,Pp,5,1.288767242
Pansporella perplexa,Pp,6,1.25642726
Pansporella perplexa,Pp,7,1.088774252
Pansporella perplexa,Pp,8,1.183588312
Pansporella perplexa,Pp,9,1.089238992
Pansporella perplexa,Pp,10,1.088137321
Pasteuria ramosa,Pr,1,0.232874278
Pasteuria ramosa,Pr,2,0.49748581
Pasteuria ramosa,Pr,3,0.702356234
Pasteuria ramosa,Pr,4,0.624986184
Pasteuria ramosa,Pr,5,0.564244239
Pasteuria ramosa,Pr,6,0.414912997
Pasteuria ramosa,Pr,7,0.368840899
Pasteuria ramosa,Pr,8,0.67173591
Pasteuria ramosa,Pr,9,0.124588089
Pasteuria ramosa,Pr,10,0.620005074
